
       Fecha       	 D0  	 D1  	 D2  	 D3  	 D4  	
2002/11/30 00:00:00	53.05	33.52	17.77	5.22 	 0.7 	
2002/12/31 00:00:00	52.05	32.74	16.44	5.29 	0.77 	
2003/01/31 00:00:00	52.54	32.14	16.47	5.33 	0.77 	
2003/02/28 00:00:00	57.18	31.63	14.67	4.29 	0.77 	
2003/03/31 00:00:00	52.77	32.11	14.4 	3.08 	0.77 	
2003/04/30 00:00:00	64.82	32.99	14.37	3.08 	0.77 	
2003/05/31 00:00:00	58.1 	33.18	14.67	3.08 	0.77 	
2003/06/30 00:00:00	60.37	30.33	13.98	3.08 	0.77 	
2003/07/31 00:00:00	56.83	30.7 	10.98	 2.8 	0.52 	
2003/08/31 00:00:00	  0  	  0  	  0  	  0  	  0  	
2003/09/30 00:00:00	38.58	13.49	7.61 	2.85 	  0  	
2003/10/31 00:00:00	21.23	7.54 	3.87 	2.28 	0.61 	
2003/11/30 00:00:00	21.85	7.84 	3.96 	2.27 	0.61 	
2003/12/31 00:00:00	27.38	9.42 	4.55 	2.38 	 0.9 	
2004/01/31 00:00:00	29.9 	6.88 	3.77 	2.96 	1.03 	
2004/02/29 00:00:00	  0  	  0  	  0  	  0  	  0  	
2004/03/31 00:00:00	17.95	4.53 	2.22 	1.26 	0.49 	
2004/04/30 00:00:00	9.26 	 3.8 	4.75 	0.67 	  0  	
2004/05/31 00:00:00	11.76	4.56 	1.43 	0.78 	  0  	
2004/06/30 00:00:00	18.62	4.27 	1.58 	0.57 	  0  	
2004/07/31 00:00:00	14.06	3.55 	1.31 	0.38 	  0  	
2004/08/31 00:00:00	33.35	3.25 	1.08 	0.21 	  0  	
2004/09/30 00:00:00	32.84	10.78	0.99 	0.21 	  0  	
2004/10/31 00:00:00	31.96	9.64 	 0.9 	0.16 	  0  	
2004/11/30 00:00:00	33.25	10.81	0.37 	0.04 	  0  	
2004/12/31 00:00:00	33.83	16.19	 0.4 	0.04 	  0  	
2005/01/31 00:00:00	32.34	15.55	0.27 	0.03 	  0  	
2005/02/28 00:00:00	23.7 	15.69	1.28 	  0  	  0  	
2005/03/31 00:00:00	20.93	13.67	1.28 	  0  	  0  	
2005/04/30 00:00:00	25.12	11.76	1.32 	  0  	  0  	
2005/05/31 00:00:00	28.78	9.88 	1.32 	  0  	  0  	
2005/06/30 00:00:00	24.25	5.93 	0.48 	0.11 	  0  	
2005/07/31 00:00:00	19.37	2.35 	0.01 	  0  	  0  	
2005/08/31 00:00:00	13.51	1.53 	0.04 	  0  	  0  	
2005/09/30 00:00:00	33.24	4.11 	0.39 	  0  	  0  	
2005/10/31 00:00:00	30.06	3.39 	  0  	  0  	  0  	
2005/11/30 00:00:00	29.65	3.07 	  0  	  0  	  0  	
2005/12/31 00:00:00	70.62	12.37	  0  	  0  	  0  	
2006/01/31 00:00:00	83.18	39.04	6.04 	2.04 	  0  	
2006/02/28 00:00:00	81.78	54.02	20.62	6.57 	0.16 	
2006/03/31 00:00:00	80.08	54.67	32.08	9.25 	 3.3 	
2006/04/30 00:00:00	83.67	61.95	44.01	 16  	3.74 	
2006/05/31 00:00:00	67.68	52.47	34.66	15.32	9.94 	
2006/06/30 00:00:00	75.74	61.21	45.63	24.99	6.69 	
2006/07/31 00:00:00	73.68	51.29	29.24	12.23	 2.7 	
2006/08/31 00:00:00	64.47	32.53	12.33	6.95 	 2.2 	
2006/09/30 00:00:00	31.9 	12.77	2.76 	  0  	  0  	
2006/10/31 00:00:00	36.21	16.65	3.34 	 0.3 	  0  	
2006/11/30 00:00:00	33.49	13.28	2.46 	0.79 	  0  	
2006/12/31 00:00:00	33.62	12.18	2.16 	0.95 	0.28 	
2007/01/31 00:00:00	 28  	17.03	6.54 	0.73 	0.08 	
2007/02/28 00:00:00	35.33	20.12	7.27 	0.52 	0.11 	
2007/03/31 00:00:00	44.74	26.77	8.61 	0.54 	  0  	
2007/04/30 00:00:00	64.84	47.95	25.1 	7.79 	  0  	
2007/05/31 00:00:00	57.84	35.98	13.59	4.35 	  0  	
2007/06/30 00:00:00	65.15	43.21	20.13	6.54 	  0  	
2007/07/31 00:00:00	59.28	40.47	22.75	8.87 	0.94 	
2007/08/31 00:00:00	27.12	16.02	9.52 	3.92 	  0  	
2007/09/30 00:00:00	46.06	19.02	4.88 	3.22 	  0  	
2007/10/31 00:00:00	41.83	24.31	9.82 	  4  	  0  	
2007/11/30 00:00:00	47.71	21.6 	10.12	  0  	  0  	
2007/12/31 00:00:00	49.64	23.93	9.01 	  0  	  0  	
2008/01/31 00:00:00	53.32	30.51	11.92	0.85 	  0  	
2008/02/29 00:00:00	71.15	38.1 	10.15	0.57 	  0  	
2008/03/31 00:00:00	80.44	46.36	9.08 	1.89 	  0  	
2008/04/30 00:00:00	84.48	57.36	16.47	3.62 	0.14 	
2008/05/31 00:00:00	88.77	59.38	18.47	5.49 	  0  	
2008/06/30 00:00:00	82.91	63.78	29.02	10.58	 1.6 	
2008/07/31 00:00:00	48.38	28.56	9.84 	 0.2 	  0  	
2008/08/31 00:00:00	24.54	12.4 	2.75 	  0  	  0  	
2008/09/30 00:00:00	20.12	 7.6 	 1.6 	  0  	  0  	
2008/10/31 00:00:00	18.82	6.52 	2.53 	  0  	  0  	
2008/11/30 00:00:00	26.67	8.35 	2.62 	  0  	  0  	
2008/12/31 00:00:00	35.99	 9.8 	2.34 	  0  	  0  	
2009/01/30 00:00:00	44.8 	16.14	2.95 	 0.1 	  0  	
2009/02/28 00:00:00	50.81	16.87	3.19 	0.26 	  0  	
2009/03/31 00:00:00	54.45	19.73	 2.3 	0.04 	  0  	
2009/04/30 00:00:00	54.36	24.78	5.84 	0.09 	  0  	
2009/05/30 00:00:00	53.44	26.19	6.73 	0.13 	  0  	
2009/06/30 00:00:00	52.14	23.62	6.39 	0.13 	  0  	
2009/07/31 00:00:00	63.87	28.11	9.93 	0.53 	  0  	
2009/08/31 00:00:00	70.13	48.49	16.12	3.81 	0.17 	
